Address,Rank,Size,Symbol,Tag
0x00100000,m,000036,__ctr_start,gdef
0x00100024,O,000028,nninitRegion,
0x00100048,m,000008,_printf_percent,
0x00100050,U,000008,_printf_p,
0x00100058,U,000008,_printf_f,
0x00100060,U,000008,_printf_e,
0x00100068,U,000008,_printf_g,
0x00100070,U,000008,_printf_a,
0x00100078,U,000012,_printf_ll,
0x00100084,U,000008,_printf_i,
0x0010008C,U,000008,_printf_d,
0x00100094,U,000008,_printf_u,
0x0010009C,U,000008,_printf_o,
0x001000A4,U,000008,_printf_x,
0x001000AC,U,000008,_printf_lli,
0x001000B4,U,000008,_printf_lld,
0x001000BC,U,000008,_printf_llu,
0x001000C4,U,000008,_printf_llo,
0x001000CC,U,000008,_printf_llx,
0x001000D4,U,000012,_printf_l,
0x001000E0,U,000008,_printf_c,
0x001000E8,O,000008,_printf_s,
0x001000F0,U,000008,_printf_lc,
0x001000F8,U,000008,_printf_ls,
0x00100100,O,000008,_printf_percent_end,
0x00100108,O,000076,nnMain,
0x0010015C,U,000044,nninitCallStaticInitializers,
0x00100190,M,000068,nninitLocale,
0x001001DC,U,000032,nninitSetup,
0x001001FC,U,000088,_ZN2nn6applet3CTR6detail10InitializeEj,
0x0010025C,M,000176,_ZN11Application14createInstanceEPN4sead4HeapE,
0x00100318,U,000056,_ZN11Application3runEv,
0x00100354,U,000828,_ZN11Application4initEiPPc,
0x00100714,U,000040,_ZN19ApplicationFunction10initializeEiPPc,
0x0010073C,m,000016,_ZN2nn2fs28ForceDisableLatencyEmulationEv,
0x00100750,U,000012,_ZN2nn2os16GetAppMemorySizeEv,
0x00100760,U,000080,_ZN2nn2os18GetUsingMemorySizeEv,
0x001007B4,U,000020,nninitStartUp,
0x001007D4,U,000212,_ZN2nn2os3CTR6detail28SetInternalErrorHandlingModeEb,
0x001008B0,U,000012,_ZN2nn2os3CTR6detail28SetInternalErrorHandlingModeEb,
0x001008C0,O,000024,_ZN2nn3svc16GetResourceLimitEPNS_6HandleES1_,
0x001008D8,U,000384,_ZN4sead16GameFrameworkCtr10initializeERKNS_9Framework13InitializeArgE,
0x00100AA4,U,000092,,
0x00100B00,U,000340,_ZNK2al16GameFrameworkCtr9tryCreateEi,
0x00100C7C,U,000208,_ZN2al15getLanguageCodeEv,
0x00100D50,O,000040,_ZN2al9SystemKit16createFileLoaderEi,
0x00100D78,U,000092,_ZN2al9SystemKit18createMemorySystemEPN4sead4HeapEmmm,
0x00100DD8,U,000112,,
0x00100E48,U,000632,_ZN2al9SystemKit20createResourceSystemEPKciib,
0x001010F0,O,000052,_ZN2al9SystemKit20createSaveDataSystemEji,
0x00101124,U,000036,,
0x00101148,U,000052,_ZN2al9SystemKitC2Ev,
0x0010117C,U,000164,_ZN2al9getRegionEv,
0x0010123C,U,000056,_ZN2nn2os15WaitableCounter10InitializeEv,
0x00101278,U,000036,nninitSetupDefault,
0x001012A0,U,000010,_ZN2nn2os6detail21InitializeStackMemoryEv,
0x001012B4,U,000010,_ZN2nn2os6detail22InitializeSharedMemoryEv,
0x001012C8,U,000188,_ZN2nn3cfg3CTR10InitializeEv,
0x00101398,U,000004,nninitSetupDaemons,
0x0010139C,U,000116,_ZN2nn3ndm19SetupDaemonsDefaultEv,
0x00101414,U,000056,_ZN2nn3ndm16SuspendSchedulerEb,
